epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.454,1.37277,2.63711,1.1837,0.65309,0.27719,0.3394,0.25776,1.33803,3.34932,1.14551,0.000549755,0.000549755,0.000549755
2,482.74,1.44515,2.00589,1.22763,0.53137,0.45209,0.46119,0.2988,1.46024,2.39851,1.27084,0.00103246,0.00103246,0.00103246
3,714.541,1.43852,1.79759,1.23167,0.5646,0.43535,0.46211,0.29287,1.51534,2.243,1.34779,0.00144182,0.00144182,0.00144182
4,942.448,1.41893,1.53405,1.21637,0.67552,0.57352,0.59754,0.38992,1.36726,1.89615,1.23375,0.00133693,0.00133693,0.00133693
5,1168.28,1.42574,1.43416,1.21308,0.66017,0.55733,0.5831,0.39667,1.31801,1.46879,1.1971,0.00122691,0.00122691,0.00122691
6,1392.09,1.36645,1.3177,1.19919,0.67635,0.57783,0.63654,0.41357,1.27909,1.32144,1.18671,0.00111689,0.00111689,0.00111689
7,1606.47,1.31297,1.17309,1.14026,0.80065,0.62945,0.69275,0.45843,1.2003,1.11047,1.13769,0.00100687,0.00100687,0.00100687
8,1814.3,1.26948,1.10406,1.1279,0.80873,0.64447,0.71433,0.48215,1.18387,1.16715,1.1494,0.000896846,0.000896846,0.000896846
9,2029.99,1.24685,1.00938,1.10965,0.77051,0.66553,0.70796,0.48952,1.15794,0.98111,1.10593,0.000786824,0.000786824,0.000786824
10,2240.93,1.20341,0.97031,1.08172,0.8437,0.69696,0.75964,0.52707,1.12012,0.90907,1.09026,0.000676802,0.000676802,0.000676802
11,2452.4,1.1676,0.90624,1.07216,0.79868,0.69331,0.74508,0.51336,1.14095,0.90416,1.09826,0.00056678,0.00056678,0.00056678
12,2659.97,1.15231,0.86684,1.06664,0.84379,0.6898,0.7624,0.53067,1.10922,0.88569,1.07445,0.000456758,0.000456758,0.000456758
13,2876.45,1.12181,0.844,1.04067,0.84944,0.71378,0.77884,0.54835,1.06042,0.80661,1.0689,0.000346736,0.000346736,0.000346736
14,3106.17,1.09121,0.79903,1.03743,0.85857,0.71278,0.78131,0.55035,1.0522,0.7873,1.06499,0.000236714,0.000236714,0.000236714
15,3318.98,1.0582,0.76506,1.02324,0.8547,0.7399,0.79284,0.56284,1.03101,0.76926,1.05683,0.000126692,0.000126692,0.000126692
