epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.73,1.15846,0.91998,1.08603,0.70775,0.66165,0.69624,0.48241,1.0885,1.04775,1.07754,0.000549755,0.000549755,0.000549755
2,663.871,1.19909,1.00352,1.11805,0.75854,0.63276,0.69249,0.47189,1.20834,1.15927,1.12791,0.0010507,0.0010507,0.0010507
3,982.881,1.22514,1.0541,1.11965,0.76817,0.62378,0.67579,0.45909,1.18494,1.10847,1.1454,0.00149664,0.00149664,0.00149664
4,1327.14,1.24103,1.05681,1.1236,0.74265,0.63177,0.68317,0.45164,1.23408,1.08039,1.16344,0.00141945,0.00141945,0.00141945
5,1679.09,1.24937,1.04178,1.1088,0.75544,0.653,0.69665,0.46855,1.19594,1.01694,1.13531,0.00133693,0.00133693,0.00133693
6,2034.05,1.23525,1.01397,1.10931,0.75448,0.65002,0.69835,0.46849,1.27534,1.03779,1.16926,0.00125442,0.00125442,0.00125442
7,2359.6,1.19643,0.98658,1.11031,0.79236,0.65001,0.70468,0.46712,1.20968,1.08858,1.14684,0.0011719,0.0011719,0.0011719
8,2608.12,1.19575,0.93691,1.1096,0.82459,0.6951,0.73377,0.5043,1.12444,0.91823,1.10291,0.00108938,0.00108938,0.00108938
9,2867.27,1.15403,0.892,1.09493,0.81118,0.70737,0.74946,0.49711,1.14737,0.87345,1.10857,0.00100687,0.00100687,0.00100687
10,3120.63,1.17319,0.9288,1.09541,0.84037,0.70497,0.75386,0.51952,1.12506,0.87064,1.09492,0.000924352,0.000924352,0.000924352
11,3377,1.14801,0.84915,1.06572,0.83635,0.68871,0.76455,0.53016,1.10552,0.84832,1.1008,0.000841835,0.000841835,0.000841835
12,3607.96,1.14208,0.82871,1.06252,0.79446,0.69914,0.74086,0.51892,1.0869,0.89144,1.07637,0.000759318,0.000759318,0.000759318
13,3851.51,1.11861,0.78132,1.05865,0.81193,0.71143,0.76203,0.53237,1.10151,0.8285,1.08448,0.000676802,0.000676802,0.000676802
14,4121.11,1.10295,0.75681,1.03856,0.85633,0.71596,0.7774,0.54766,1.05404,0.77119,1.06009,0.000594286,0.000594286,0.000594286
15,4371.08,1.08056,0.72484,1.03372,0.86364,0.74266,0.79254,0.55832,1.06397,0.7586,1.06435,0.000511769,0.000511769,0.000511769
16,4611.57,1.04913,0.703,1.012,0.87497,0.72751,0.79792,0.56288,1.04307,0.73777,1.05938,0.000429253,0.000429253,0.000429253
17,4856.93,1.03076,0.68019,1.00938,0.87845,0.73848,0.797,0.56767,1.02619,0.72371,1.05355,0.000346736,0.000346736,0.000346736
18,5093.75,1.0454,0.66758,1.00921,0.85678,0.74905,0.80698,0.56908,1.02134,0.69654,1.04858,0.00026422,0.00026422,0.00026422
19,5399.73,1.00717,0.63961,0.99381,0.89018,0.74687,0.808,0.57308,1.01565,0.70344,1.04692,0.000181703,0.000181703,0.000181703
20,5723.46,0.991,0.62984,0.98345,0.87596,0.75801,0.81376,0.57654,1.01275,0.68527,1.04138,9.91865e-05,9.91865e-05,9.91865e-05
